"X.,Y."
"32.0253486,35.9806747"
"32.0201110,35.9623489"
"32.0245399,35.8556365"
"32.0237998,35.8558197"
"32.0055046,35.8500480"
"31.9971027,35.8498153"
"31.9969940,35.8475112"
"31.9967403,35.8316612"
"31.9175300,35.8589935"
"31.8964729,35.9123992"
"31.8952541,35.9037361"
"31.8890838,35.9011039"
"31.8853645,35.8992233"
"31.8832473,35.8973083"
"31.8846111,35.8999404"
"31.8849582,35.9023780"
"31.8851509,35.9028663"
"31.8930339,35.9110221"
"31.8927536,35.9130935"
"31.8908653,35.9127311"
"31.8883438,35.9121170"
"31.8867511,35.9142456"
"31.8906612,35.9186592"
"31.9019908,35.9458808"
"31.8986988,35.9778823"
"31.9133605,35.9840240"
"31.9246864,35.9899444"
"31.9499320,35.9972457"
"31.9651660,35.9931983"
"31.9995365,36.0346412"
"32.0281486,36.0394515"
"32.0284271,36.0395011"
"32.0356025,36.0391807"
"32.0394630,36.0398864"
"32.0446166,36.0456733"
"32.0446968,36.0456886"
"32.0470390,36.0458488"
"32.0559043,36.0468521"
"32.0693702,36.0607185"
"32.0701637,36.0610771"
"32.0693664,36.0605354"
"32.0439147,36.0443229"
"32.0425949,36.0411758"
"32.0394630,36.0398902"
"32.0281639,36.0509872"
"32.0262222,36.0683212"
"32.0218276,36.0822715"
"32.0450477,36.0894508"
"32.0311431,36.0755157"
"32.0185432,36.0542678"
"32.0168113,36.0479888"
"32.0167045,36.0434913"
"32.0150642,36.0475463"
"32.0144386,36.0478477"
"32.0142364,36.0477638"
"32.0153465,36.0473175"
"32.0134201,36.0479927"
"32.0148048,36.0463256"
"32.0183639,36.0475769"
"32.0213470,36.0473937"
"32.0285911,36.0411682"
"32.0394630,36.0398674"
"32.0278930,36.0375289"
"32.0242385,35.9827384"
"32.0296096,35.8714981"
"32.0044174,35.8735847"
"32.0056190,35.8776550"
"32.0011138,35.8739128"
"32.0047035,35.8733978"
"32.0192680,35.8656768"
"32.0187339,35.8668060"
"32.0250129,35.8716278"
"32.0283393,35.8935127"
"32.0520362,35.9112625"
"32.0536079,35.9114952"
"32.0438385,35.8997764"
"32.0505447,35.8851966"
"32.0491638,35.8744583"
"32.0360298,35.8672943"
"32.0289039,35.8715057"
"32.0260391,35.8715438"
"32.0218391,35.8722343"
"32.0276069,35.8775215"
"32.0250816,35.9809036"
"32.0394630,36.0398750"
